F_app,F_net
0.000000000000000000e+00,0.000000000000000000e+00
4.000800160032006413e-03,0.000000000000000000e+00
8.001600320064012825e-03,0.000000000000000000e+00
1.200240048009601837e-02,0.000000000000000000e+00
1.600320064012802565e-02,0.000000000000000000e+00
2.000400080016003293e-02,0.000000000000000000e+00
2.400480096019203674e-02,0.000000000000000000e+00
2.800560112022404402e-02,0.000000000000000000e+00
3.200640128025605130e-02,0.000000000000000000e+00
3.600720144028805858e-02,0.000000000000000000e+00
4.000800160032006586e-02,0.000000000000000000e+00
4.400880176035207314e-02,0.000000000000000000e+00
4.800960192038407348e-02,0.000000000000000000e+00
5.201040208041608076e-02,0.000000000000000000e+00
5.601120224044808804e-02,0.000000000000000000e+00
6.001200240048009532e-02,0.000000000000000000e+00
6.401280256051210260e-02,0.000000000000000000e+00
6.801360272054410294e-02,0.000000000000000000e+00
7.201440288057611716e-02,0.000000000000000000e+00
7.601520304060811750e-02,0.000000000000000000e+00
8.001600320064013172e-02,0.000000000000000000e+00
8.401680336067213206e-02,0.000000000000000000e+00
8.801760352070414628e-02,0.000000000000000000e+00
9.201840368073614662e-02,0.000000000000000000e+00
9.601920384076814696e-02,0.000000000000000000e+00
1.000200040008001612e-01,0.000000000000000000e+00
1.040208041608321615e-01,0.000000000000000000e+00
1.080216043208641757e-01,0.000000000000000000e+00
1.120224044808961761e-01,0.000000000000000000e+00
1.160232046409281903e-01,0.000000000000000000e+00
1.200240048009601906e-01,0.000000000000000000e+00
1.240248049609922049e-01,0.000000000000000000e+00
1.280256051210242052e-01,0.000000000000000000e+00
1.320264052810562194e-01,0.000000000000000000e+00
1.360272054410882059e-01,0.000000000000000000e+00
1.400280056011202201e-01,0.000000000000000000e+00
1.440288057611522343e-01,0.000000000000000000e+00
1.480296059211842485e-01,0.000000000000000000e+00
1.520304060812162350e-01,0.000000000000000000e+00
1.560312062412482492e-01,0.000000000000000000e+00
1.600320064012802634e-01,0.000000000000000000e+00
1.640328065613122499e-01,0.000000000000000000e+00
1.680336067213442641e-01,0.000000000000000000e+00
1.720344068813762783e-01,0.000000000000000000e+00
1.760352070414082926e-01,0.000000000000000000e+00
1.800360072014402790e-01,0.000000000000000000e+00
1.840368073614722932e-01,0.000000000000000000e+00
1.880376075215043075e-01,0.000000000000000000e+00
1.920384076815362939e-01,0.000000000000000000e+00
1.960392078415683081e-01,0.000000000000000000e+00
2.000400080016003224e-01,0.000000000000000000e+00
2.040408081616323366e-01,0.000000000000000000e+00
2.080416083216643230e-01,0.000000000000000000e+00
2.120424084816963373e-01,0.000000000000000000e+00
2.160432086417283515e-01,0.000000000000000000e+00
2.200440088017603657e-01,0.000000000000000000e+00
2.240448089617923522e-01,0.000000000000000000e+00
2.280456091218243664e-01,0.000000000000000000e+00
2.320464092818563806e-01,0.000000000000000000e+00
2.360472094418883671e-01,0.000000000000000000e+00
2.400480096019203813e-01,0.000000000000000000e+00
2.440488097619523955e-01,0.000000000000000000e+00
2.480496099219844097e-01,0.000000000000000000e+00
2.520504100820163962e-01,0.000000000000000000e+00
2.560512102420484104e-01,0.000000000000000000e+00
2.600520104020804246e-01,0.000000000000000000e+00
2.640528105621124388e-01,0.000000000000000000e+00
2.680536107221444531e-01,0.000000000000000000e+00
2.720544108821764118e-01,0.000000000000000000e+00
2.760552110422084260e-01,0.000000000000000000e+00
2.800560112022404402e-01,0.000000000000000000e+00
2.840568113622724544e-01,0.000000000000000000e+00
2.880576115223044686e-01,0.000000000000000000e+00
2.920584116823364829e-01,0.000000000000000000e+00
2.960592118423684971e-01,0.000000000000000000e+00
3.000600120024004558e-01,0.000000000000000000e+00
3.040608121624324700e-01,0.000000000000000000e+00
3.080616123224644842e-01,0.000000000000000000e+00
3.120624124824964984e-01,0.000000000000000000e+00
3.160632126425285127e-01,0.000000000000000000e+00
3.200640128025605269e-01,0.000000000000000000e+00
3.240648129625925411e-01,0.000000000000000000e+00
3.280656131226244998e-01,0.000000000000000000e+00
3.320664132826565140e-01,0.000000000000000000e+00
3.360672134426885282e-01,0.000000000000000000e+00
3.400680136027205425e-01,0.000000000000000000e+00
3.440688137627525567e-01,0.000000000000000000e+00
3.480696139227845709e-01,0.000000000000000000e+00
3.520704140828165851e-01,0.000000000000000000e+00
3.560712142428485438e-01,0.000000000000000000e+00
3.600720144028805580e-01,0.000000000000000000e+00
3.640728145629125723e-01,0.000000000000000000e+00
3.680736147229445865e-01,0.000000000000000000e+00
3.720744148829766007e-01,0.000000000000000000e+00
3.760752150430086149e-01,0.000000000000000000e+00
3.800760152030406291e-01,0.000000000000000000e+00
3.840768153630725879e-01,0.000000000000000000e+00
3.880776155231046021e-01,0.000000000000000000e+00
3.920784156831366163e-01,0.000000000000000000e+00
3.960792158431686305e-01,0.000000000000000000e+00
4.000800160032006447e-01,0.000000000000000000e+00
4.040808161632326589e-01,0.000000000000000000e+00
4.080816163232646732e-01,0.000000000000000000e+00
4.120824164832966874e-01,0.000000000000000000e+00
4.160832166433286461e-01,0.000000000000000000e+00
4.200840168033606603e-01,0.000000000000000000e+00
4.240848169633926745e-01,0.000000000000000000e+00
4.280856171234246887e-01,0.000000000000000000e+00
4.320864172834567030e-01,0.000000000000000000e+00
4.360872174434887172e-01,0.000000000000000000e+00
4.400880176035207314e-01,0.000000000000000000e+00
4.440888177635526901e-01,0.000000000000000000e+00
4.480896179235847043e-01,0.000000000000000000e+00
4.520904180836167185e-01,0.000000000000000000e+00
4.560912182436487328e-01,0.000000000000000000e+00
4.600920184036807470e-01,0.000000000000000000e+00
4.640928185637127612e-01,0.000000000000000000e+00
4.680936187237447754e-01,0.000000000000000000e+00
4.720944188837767341e-01,0.000000000000000000e+00
4.760952190438087483e-01,0.000000000000000000e+00
4.800960192038407626e-01,0.000000000000000000e+00
4.840968193638727768e-01,0.000000000000000000e+00
4.880976195239047910e-01,0.000000000000000000e+00
4.920984196839368052e-01,0.000000000000000000e+00
4.960992198439688194e-01,0.000000000000000000e+00
5.001000200040007782e-01,0.000000000000000000e+00
5.041008201640327924e-01,0.000000000000000000e+00
5.081016203240648066e-01,0.000000000000000000e+00
5.121024204840968208e-01,0.000000000000000000e+00
5.161032206441288350e-01,0.000000000000000000e+00
5.201040208041608492e-01,0.000000000000000000e+00
5.241048209641928635e-01,0.000000000000000000e+00
5.281056211242248777e-01,0.000000000000000000e+00
5.321064212842568919e-01,0.000000000000000000e+00
5.361072214442889061e-01,0.000000000000000000e+00
5.401080216043209203e-01,0.000000000000000000e+00
5.441088217643528235e-01,0.000000000000000000e+00
5.481096219243848378e-01,0.000000000000000000e+00
5.521104220844168520e-01,0.000000000000000000e+00
5.561112222444488662e-01,0.000000000000000000e+00
5.601120224044808804e-01,0.000000000000000000e+00
5.641128225645128946e-01,0.000000000000000000e+00
5.681136227245449088e-01,0.000000000000000000e+00
5.721144228845769231e-01,0.000000000000000000e+00
5.761152230446089373e-01,0.000000000000000000e+00
5.801160232046409515e-01,0.000000000000000000e+00
5.841168233646729657e-01,0.000000000000000000e+00
5.881176235247049799e-01,0.000000000000000000e+00
5.921184236847369942e-01,0.000000000000000000e+00
5.961192238447690084e-01,0.000000000000000000e+00
6.001200240048009116e-01,0.000000000000000000e+00
6.041208241648329258e-01,0.000000000000000000e+00
6.081216243248649400e-01,0.000000000000000000e+00
6.121224244848969542e-01,0.000000000000000000e+00
6.161232246449289685e-01,0.000000000000000000e+00
6.201240248049609827e-01,0.000000000000000000e+00
6.241248249649929969e-01,0.000000000000000000e+00
6.281256251250250111e-01,0.000000000000000000e+00
6.321264252850570253e-01,0.000000000000000000e+00
6.361272254450890395e-01,0.000000000000000000e+00
6.401280256051210538e-01,0.000000000000000000e+00
6.441288257651530680e-01,0.000000000000000000e+00
6.481296259251850822e-01,0.000000000000000000e+00
6.521304260852170964e-01,0.000000000000000000e+00
6.561312262452489996e-01,0.000000000000000000e+00
6.601320264052810138e-01,0.000000000000000000e+00
6.641328265653130281e-01,0.000000000000000000e+00
6.681336267253450423e-01,0.000000000000000000e+00
6.721344268853770565e-01,0.000000000000000000e+00
6.761352270454090707e-01,0.000000000000000000e+00
6.801360272054410849e-01,0.000000000000000000e+00
6.841368273654730991e-01,0.000000000000000000e+00
6.881376275255051134e-01,0.000000000000000000e+00
