t,N,crowding_load,dN_dt
0.000000000000000000e+00,1.500000000000000000e+02,1.500000000000000000e+02,-2.194218946339030367e+02
3.000600120024004593e-03,1.493451067671709893e+02,1.499990167008804178e+02,-2.170928386931195746e+02
6.001200240048009185e-03,1.486971434866072457e+02,1.499960846358862057e+02,-2.148026942176260832e+02
9.001800360072014645e-03,1.480559946716988975e+02,1.499912302499950272e+02,-2.125505302794518343e+02
1.200240048009601837e-02,1.474215471320351583e+02,1.499844796284322967e+02,-2.103354432601637143e+02
1.500300060012002210e-02,1.467936915385478187e+02,1.499758582922826520e+02,-2.081565610725005797e+02
1.800360072014402929e-02,1.461723210297736273e+02,1.499653913716541354e+02,-2.060130378312573498e+02
2.100420084016803302e-02,1.455573309465939360e+02,1.499531036393798047e+02,-2.039040523031037537e+02
2.400480096019203674e-02,1.449486188322346720e+02,1.499390195110177615e+02,-2.018288072406978131e+02
2.700540108021604047e-02,1.443460844322662808e+02,1.499231630448512647e+02,-1.997865287359149420e+02
3.000600120024004419e-02,1.437496296946038115e+02,1.499055579418885031e+02,-1.977764655915908634e+02
3.300660132026404792e-02,1.431591587695069165e+02,1.498862275458628801e+02,-1.957978887111944175e+02
3.600720144028805858e-02,1.425745780095797102e+02,1.498651948432327856e+02,-1.938500905058642729e+02
3.900780156031206231e-02,1.419957959697709953e+02,1.498424824631816534e+02,-1.919323843182638711e+02
4.200840168033606603e-02,1.414227234073740362e+02,1.498181126776180463e+02,-1.900441038627202204e+02
4.500900180036006976e-02,1.408552732820267011e+02,1.497921074011755707e+02,-1.881846026811360559e+02
4.800960192038407348e-02,1.402933607408414503e+02,1.497644881929967369e+02,-1.863532535705943474e+02
5.101020204040807721e-02,1.397369017557148823e+02,1.497352764154343276e+02,-1.845494440988069869e+02
5.401080216043208093e-02,1.391858144385150524e+02,1.497044930663988680e+02,-1.827725800345854736e+02
5.701140228045608466e-02,1.386400192345957407e+02,1.496721587691646391e+02,-1.810220854442996199e+02
6.001200240048008838e-02,1.380994380809553945e+02,1.496382938764346022e+02,-1.792973998143084486e+02
6.301260252050409905e-02,1.375639944062371285e+02,1.496029184703402564e+02,-1.775979776644365984e+02
6.601320264052809583e-02,1.370336131307286678e+02,1.495660523624416953e+02,-1.759232881716551731e+02
6.901380276055210650e-02,1.365082206663624049e+02,1.495277150937276076e+02,-1.742728148036705420e+02
7.201440288057611716e-02,1.359877449167154850e+02,1.494879259346152480e+02,-1.726460549621326379e+02
7.501500300060011395e-02,1.354721152770095500e+02,1.494467038849504661e+02,-1.710425196351826287e+02
7.801560312062412461e-02,1.349612626341110229e+02,1.494040676740077345e+02,-1.694617330590698714e+02
8.101620324064812140e-02,1.344551193665309086e+02,1.493600357604900637e+02,-1.679032323885711548e+02
8.401680336067213206e-02,1.339536193444249363e+02,1.493146263325290306e+02,-1.663665673759588799e+02
8.701740348069612885e-02,1.334566979295934743e+02,1.492678573076848920e+02,-1.648513000582673556e+02
9.001800360072013951e-02,1.329642919523748219e+02,1.492197463360535892e+02,-1.633570043922248658e+02
9.301860372074413630e-02,1.324763386501818161e+02,1.491703109388372468e+02,-1.618832631983500221e+02
9.601920384076814696e-02,1.319927768964792847e+02,1.491195683353763286e+02,-1.604296711260465713e+02
9.901980396079215763e-02,1.315135471554505102e+02,1.490675354594430644e+02,-1.589958342583810804e+02
1.020204040808161544e-01,1.310385909097840909e+02,1.490142290383344914e+02,-1.575813683777033418e+02
1.050210042008401651e-01,1.305678506606740825e+02,1.489596655928721987e+02,-1.561858987396465750e+02
1.080216043208641619e-01,1.301012699278199136e+02,1.489038614374025542e+02,-1.548090598526196118e+02
1.110222044408881725e-01,1.296387932494263566e+02,1.488468326797965915e+02,-1.534504952626438978e+02
1.140228045609121693e-01,1.291803661822036418e+02,1.487885952214499810e+02,-1.521098573433908143e+02
1.170234046809361800e-01,1.287259353013673717e+02,1.487291647572831721e+02,-1.507868070912805933e+02
1.200240048009601768e-01,1.282754482006385501e+02,1.486685567757411945e+02,-1.494810139255054082e+02
1.230246049209841874e-01,1.278288534922435389e+02,1.486067865587938002e+02,-1.481921554928451314e+02
1.260252050410081981e-01,1.273861008069141434e+02,1.485438691819354347e+02,-1.469199174771458729e+02
1.290258051610322088e-01,1.269471407938875558e+02,1.484798195141852091e+02,-1.456639934133361862e+02
1.320264052810561917e-01,1.265119251209063265e+02,1.484146522180869567e+02,-1.444240845058580192e+02
1.350270054010802023e-01,1.260804064742184210e+02,1.483483817497091479e+02,-1.431998994513944865e+02
1.380276055211042130e-01,1.256525379087533167e+02,1.482810224535688235e+02,-1.419911527642638873e+02
