S,v
1.000000000000000021e-02,9.900980296059113187e-03
1.002305699748960201e-02,9.923582396117279839e-03
1.004616715749252591e-02,9.946235574042443239e-03
1.006933060258556958e-02,9.968939942893606521e-03
1.009254745562814665e-02,9.991695615969178532e-03
1.011581783976295799e-02,1.001450270680743874e-02
1.013914187841662498e-02,1.003736132918699522e-02
1.016251969530036249e-02,1.006027159712724953e-02
1.018595141441061905e-02,1.008323362488883906e-02
1.020943716002974642e-02,1.010624752697411935e-02
1.023297705672665189e-02,1.012931341812759595e-02
1.025657122935746089e-02,1.015243141333641193e-02
1.028021980306618316e-02,1.017560162783079716e-02
1.030392290328536672e-02,1.019882417708453323e-02
1.032768065573677792e-02,1.022209917681540965e-02
1.035149318643205016e-02,1.024542674298569746e-02
1.037536062167336917e-02,1.026880699180261237e-02
1.039928308805413218e-02,1.029224003971876585e-02
1.042326071245962445e-02,1.031572600343264902e-02
1.044729362206768888e-02,1.033926499988909245e-02
1.047138194434940432e-02,1.036285714627971540e-02
1.049552580706975685e-02,1.038650256004342888e-02
1.051972533828832157e-02,1.041020135886686765e-02
1.054398066635994259e-02,1.043395366068488282e-02
1.056829191993540959e-02,1.045775958368099640e-02
1.059265922796214301e-02,1.048161924628788523e-02
1.061708271968487584e-02,1.050553276718783728e-02
1.064156252464634224e-02,1.052950026531322865e-02
1.066609877268796282e-02,1.055352185984699716e-02
1.069069159395053328e-02,1.057759767022311247e-02
1.071534111887491661e-02,1.060172781612705485e-02
1.074004747820272825e-02,1.062591241749627664e-02
1.076481080297704042e-02,1.065015159452068448e-02
1.078963122454306735e-02,1.067444546764311289e-02
1.081450887454886954e-02,1.069879415755980827e-02
1.083944388494604422e-02,1.072319778522088513e-02
1.086443638799043307e-02,1.074765647183082047e-02
1.088948651624281616e-02,1.077217033884892566e-02
1.091459440256962142e-02,1.079673950798981825e-02
1.093976018014362894e-02,1.082136410122391812e-02
1.096498398244467008e-02,1.084604424077789675e-02
1.099026594326034389e-02,1.087078004913519247e-02
1.101560619668672490e-02,1.089557164903646840e-02
1.104100487712906913e-02,1.092041916348009123e-02
1.106646211930253400e-02,1.094532271572262738e-02
1.109197805823288786e-02,1.097028242927932176e-02
1.111755282925722642e-02,1.099529842792456615e-02
1.114318656802469609e-02,1.102037083569240919e-02
1.116887941049720702e-02,1.104549977687701266e-02
1.119463149295015642e-02,1.107068537603315105e-02
1.122044295197315369e-02,1.109592775797670246e-02
1.124631392447073865e-02,1.112122704778511877e-02
1.127224454766311869e-02,1.114658337079792519e-02
1.129823495908688358e-02,1.117199685261720775e-02
1.132428529659574266e-02,1.119746761910808339e-02
1.135039569836125695e-02,1.122299579639921517e-02
1.137656630287356592e-02,1.124858151088327721e-02
1.140279724894213004e-02,1.127422488921746464e-02
1.142908867569646103e-02,1.129992605832396899e-02
1.145544072258685049e-02,1.132568514539046729e-02
1.148185352938514703e-02,1.135150227787064432e-02
1.150832723618544842e-02,1.137737758348463663e-02
1.153486198340487184e-02,1.140331119021956163e-02
1.156145791178429978e-02,1.142930322633000165e-02
1.158811516238911384e-02,1.145535382033848089e-02
1.161483387660995625e-02,1.148146310103599285e-02
1.164161419616346893e-02,1.150763119748247042e-02
1.166845626309305495e-02,1.153385823900728892e-02
1.169536021976962104e-02,1.156014435520975707e-02
1.172232620889234259e-02,1.158648967595963045e-02
1.174935437348941479e-02,1.161289433139758680e-02
1.177644485691881245e-02,1.163935845193574299e-02
1.180359780286905323e-02,1.166588216825814768e-02
1.183081335535995579e-02,1.169246561132126876e-02
1.185809165874340300e-02,1.171910891235451377e-02
1.188543285770411392e-02,1.174581220286072085e-02
1.191283709726040536e-02,1.177257561461665311e-02
1.194030452276496207e-02,1.179939927967351213e-02
1.196783527990560869e-02,1.182628333035743405e-02
1.199542951470608347e-02,1.185322789926999271e-02
1.202308737352681019e-02,1.188023311928870784e-02
1.205080900306567705e-02,1.190729912356754128e-02
1.207859455035881387e-02,1.193442604553741557e-02
1.210644416278136744e-02,1.196161401890669281e-02
1.213435798804829262e-02,1.198886317766171411e-02
1.216233617421512772e-02,1.201617365606727841e-02
1.219037886967878383e-02,1.204354558866717329e-02
1.221848622317833234e-02,1.207097911028466412e-02
1.224665838379578736e-02,1.209847435602300070e-02
1.227489550095690711e-02,1.212603146126594623e-02
1.230319772443197457e-02,1.215365056167826661e-02
1.233156520433660412e-02,1.218133179320625079e-02
1.235999809113252912e-02,1.220907529207822424e-02
1.238849653562840158e-02,1.223688119480504342e-02
1.241706068898059366e-02,1.226474963818062827e-02
1.244569070269399905e-02,1.229268075928246530e-02
1.247438672862283791e-02,1.232067469547211934e-02
1.250314891897145488e-02,1.234873158439573314e-02
1.253197742629513778e-02,1.237685156398458421e-02
1.256087240350092088e-02,1.240503477245554972e-02
1.258983400384839496e-02,1.243328134831165645e-02
1.261886238095051745e-02,1.246159143034256990e-02
1.264795768877443813e-02,1.248996515762513908e-02
1.267712008164230408e-02,1.251840266952388911e-02
1.270634971423208366e-02,1.254690410569155035e-02
1.273564674157838875e-02,1.257546960606958052e-02
1.276501131907329181e-02,1.260409931088866953e-02
1.279444360246715338e-02,1.263279336066926856e-02
1.282394374786944603e-02,1.266155189622210527e-02
1.285351191174958704e-02,1.269037505864871115e-02
1.288314825093776587e-02,1.271926298934194025e-02
1.291285292262576816e-02,1.274821582998647042e-02
1.294262608436782744e-02,1.277723372255935852e-02
1.297246789408143877e-02,1.280631680933054690e-02
1.300237851004821567e-02,1.283546523286337865e-02
1.303235809091471929e-02,1.286467913601513531e-02
1.306240679569329981e-02,1.289395866193754521e-02
1.309252478376294639e-02,1.292330395407732639e-02
1.312271221487012161e-02,1.295271515617670358e-02
1.315296924912962538e-02,1.298219241227392684e-02
1.318329604702542408e-02,1.301173586670380765e-02
1.321369276941151798e-02,1.304134566409824447e-02
1.324415957751278600e-02,1.307102194938674494e-02
1.327469663292584617e-02,1.310076486779695668e-02
1.330530409761990565e-02,1.313057456485519810e-02
1.333598213393762631e-02,1.316045118638698060e-02
1.336673090459598347e-02,1.319039487851755149e-02
1.339755057268712801e-02,1.322040578767240578e-02
1.342844130167925379e-02,1.325048406057783255e-02
1.345940325541746148e-02,1.328062984426143719e-02
1.349043659812463117e-02,1.331084328605267736e-02
1.352154149440228971e-02,1.334112453358338862e-02
1.355271810923148849e-02,1.337147373478833091e-02
1.358396660797367081e-02,1.340189103790569852e-02
1.361528715637155829e-02,1.343237659147767868e-02
1.364667992055002520e-02,1.346293054435097544e-02
1.367814506701697796e-02,1.349355304567734400e-02
1.370968276266423813e-02,1.352424424491411627e-02
1.374129317476843748e-02,1.355500429182475257e-02
1.377297647099188886e-02,1.358583333647937763e-02
1.380473281938348826e-02,1.361673152925530102e-02
1.383656238837960295e-02,1.364769902083757570e-02
1.386846534680496144e-02,1.367873596221951329e-02
1.390044186387355205e-02,1.370984250470323913e-02
1.393249210918952145e-02,1.374101879990023180e-02
1.396461625274806814e-02,1.377226499973184873e-02
1.399681446493635482e-02,1.380358125642987092e-02
1.402908691653440010e-02,1.383496772253705633e-02
1.406143377871599438e-02,1.386642455090767237e-02
1.409385522304960024e-02,1.389795189470801641e-02
1.412635142149926658e-02,1.392954990741699338e-02
1.415892254642553937e-02,1.396121874282663447e-02
1.419156877058637932e-02,1.399295855504265398e-02
1.422429026713807089e-02,1.402476949848497668e-02
1.425708720963614860e-02,1.405665172788829118e-02
1.428995977203630953e-02,1.408860539830259460e-02
1.432290812869534483e-02,1.412063066509373216e-02
1.435593245437205567e-02,1.415272768394395218e-02
1.438903292422819176e-02,1.418489661085243873e-02
1.442220971382936374e-02,1.421713760213586669e-02
1.445546299914599042e-02,1.424945081442894126e-02
1.448879295655422506e-02,1.428183640468496524e-02
1.452219976283688693e-02,1.431429453017634551e-02
1.455568359518440852e-02,1.434682534849518465e-02
1.458924463119576180e-02,1.437942901755379782e-02
1.462288304887942800e-02,1.441210569558529567e-02
1.465659902665430309e-02,1.444485554114409258e-02
1.469039274335066925e-02,1.447767871310648088e-02
1.472426437821114029e-02,1.451057537067118423e-02
1.475821411089160359e-02,1.454354567335988148e-02
1.479224212146218638e-02,1.457658978101780169e-02
1.482634859040820111e-02,1.460970785381423415e-02
1.486053369863109958e-02,1.464290005224310083e-02
1.489479762744944785e-02,1.467616653712351324e-02
1.492914055859986995e-02,1.470950746960029802e-02
1.496356267423802448e-02,1.474292301114459025e-02
1.499806415693956570e-02,1.477641332355435211e-02
1.503264518970110972e-02,1.480997856895495228e-02
1.506730595594120946e-02,1.484361890979969852e-02
1.510204663950132954e-02,1.487733450887041009e-02
1.513686742464681254e-02,1.491112552927796424e-02
1.517176849606786428e-02,1.494499213446285474e-02
1.520675003888052879e-02,1.497893448819575049e-02
1.524181223862767533e-02,1.501295275457804716e-02
1.527695528127997852e-02,1.504704709804243271e-02
1.531217935323690021e-02,1.508121768335341818e-02
1.534748464132769212e-02,1.511546467560794665e-02
1.538287133281237076e-02,1.514978824023589972e-02
1.541833961538272360e-02,1.518418854300068559e-02
1.545388967716329262e-02,1.521866574999979072e-02
1.548952170671238568e-02,1.525322002766532972e-02
1.552523589302306703e-02,1.528785154276463519e-02
1.556103242552415652e-02,1.532256046240077288e-02
1.559691149408124790e-02,1.535734695401314541e-02
1.563287328899770623e-02,1.539221118537802829e-02
1.566891800101567409e-02,1.542715332460913198e-02
1.570504582131709154e-02,1.546217354015817433e-02
1.574125694152471097e-02,1.549727200081544611e-02
1.577755155370310150e-02,1.553244887571034877e-02
1.581392985035968285e-02,1.556770433431199294e-02
1.585039202444572803e-02,1.560303854642972575e-02
1.588693826935741460e-02,1.563845168221372761e-02
1.592356877893681688e-02,1.567394391215554128e-02
1.596028374747296072e-02,1.570951540708867208e-02
1.599708336970284348e-02,1.574516633818913436e-02
1.603396784081246099e-02,1.578089687697600135e-02
1.607093735643785881e-02,1.581670719531201932e-02
1.610799211266615225e-02,1.585259746540410714e-02
1.614513230603657756e-02,1.588856785980397382e-02
